Value
5.2
5.0
5.1
5.2
5.2
5.6
6.4
6.9
7.1
7.400000000000001
7.800000000000001
8.8
10.2
10.4
9.5
8.2
7.199999999999999
6.7
5.9
5.4
5.2
5.2
5.3
5.0
4.8
4.8
4.9
5.2
5.6
5.9
