Value
11.6
11.2
10.4
10.2
9.9
8.9
8.1
8.2
8.6
8.7
8.8
9.1
9.0
8.8
9.1
9.2
9.3
9.4
9.7
10.3
11.7
12.7
13.1
13.1
13.1
13.6
13.8
13.7
13.6
13.1
